feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
num_versions,287,117,-0.0494572680454745,-0.3124943305803233,0.0806865050553914,-0.10004131853294543,0.26303706253484876,20897.0,7.996748846816686e-05,0.24464695196402514,small,0.0014394147924270035,True,True,0.24464695196402514,True
fog,287,103,11.38,10.49,11.511742160278745,11.064563106796115,0.8900000000000006,16655.5,0.05613511027900475,0.1268563309766246,negligible,0.898161764464076,False,False,0.1268563309766246,False
num_exception_types,287,117,-0.5251530779927517,-0.5251530779927517,0.0690241850478278,-0.12954274644692992,0.0,18797.0,0.01738659048899265,0.11956877810536347,negligible,0.29557203831287504,False,False,0.11956877810536347,False
num_causal_markers,287,117,-0.1531279935599871,-0.4554019288379759,-0.03516743345150368,0.027719660025134412,0.30227393527798885,18449.0,0.11280426394633782,0.09884153786592811,negligible,1.0,False,False,0.09884153786592811,False
semantic_entropy,287,117,0.2704625886779075,0.3721681464394769,0.1097514043079863,-0.19088579083617377,-0.10170555776156937,17975.5,0.2654277676875906,0.07063938771255844,negligible,1.0,False,False,0.07063938771255844,False
lix,287,103,51.86,50.13,52.16749128919861,51.932038834951456,1.7299999999999969,15676.5,0.3615316725713844,0.06062041202936301,negligible,1.0,False,False,0.06062041202936301,False
txt_reasoning_digit_density,287,117,-0.2000607604811334,-0.2000607604811334,0.047917030002633046,-0.007827390585782608,0.0,17568.5,0.11306404422367163,0.0463980463980464,negligible,1.0,False,False,0.0463980463980464,False
num_temporal_markers,287,117,-0.4635308650875505,-0.4635308650875505,0.025223588687854664,-0.019489940005115294,0.0,17538.0,0.3848296178091475,0.04458143482533727,negligible,1.0,False,False,0.04458143482533727,False
txt_reasoning_avg_sentence_len,287,117,-0.0140365238068689,-0.0140365238068689,-0.03672177399771474,0.04832550237977554,0.0,16110.5,0.5235798509004741,-0.04044194288096727,negligible,1.0,False,False,0.04044194288096727,False
num_OB,287,117,-0.2886514946017978,-0.0777818550633016,-0.08145554216327543,0.06640251385190953,-0.2108696395384962,16126.5,0.5309226934555908,-0.03948896631823461,negligible,1.0,False,False,0.03948896631823461,False
txt_likely_impacted_code_concepts_digit_density,287,117,-0.1486940122073022,-0.1486940122073022,0.10369326939659358,-0.12507248130185947,0.0,17411.0,0.06562108478811421,0.037017183358646774,negligible,0.9843162718217131,False,False,0.037017183358646774,False
ambiguity,287,117,-0.5855868655187282,-0.5855868655187282,-0.03178432990282126,-0.0009392611990594834,0.0,16203.5,0.5297023232029423,-0.03490276661008369,negligible,1.0,False,False,0.03490276661008369,False
stacktrace_depth,287,117,-0.2020454871191189,-0.2020454871191189,0.016369411089198864,-0.01684108467087142,0.0,17349.0,0.2939674153275471,0.03332439917805771,negligible,1.0,False,False,0.03332439917805771,False
num_env_mentions,287,117,-0.2192296649910203,-0.2192296649910203,-0.06847020895823445,0.09368789102180347,0.0,16335.0,0.25642325089508067,-0.02707049048512463,negligible,1.0,False,False,0.02707049048512463,False
txt_root_cause_guess_digit_density,287,117,-0.1710687069843892,-0.1710687069843892,0.11835004614348504,-0.051189597354567906,0.0,17238.0,0.2391193398929774,0.026713124274099883,negligible,1.0,False,False,0.026713124274099883,False
num_EB,287,117,0.2959479588785432,-0.673136533919824,0.06971569052491741,0.20483745100861123,0.9690844927983672,16852.5,0.9490640750932482,0.00375234521575985,negligible,1.0,False,False,0.00375234521575985,False
exception_user_frames,287,117,-0.2073567129463963,-0.2073567129463963,-0.01004939250670358,-0.019841034264774893,0.0,16825.5,0.9454986782181264,0.0021441972661484857,negligible,1.0,False,False,0.0021441972661484857,False
smog,287,103,12.0,11.9,12.159581881533102,12.15728155339806,0.09999999999999964,14783.0,0.9983735930895778,0.00016914177463549948,negligible,1.0,False,False,0.00016914177463549948,False
