tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,actionability,21,237,-0.163033776330488,0.8491089986580442,-0.4763160638269386,0.5864643545154503,-1.0121427749885323,953.0,1.3172635357294575e-07,-0.6170383765320474,large,4.742148728626047e-06,True,True,0.6170383765320474,True
BRaIn,txt_description_line_count,21,237,-0.5906783179578173,0.3988261864010971,-0.08826557224476049,0.2645818461731695,-0.9895045043589145,1024.5,7.9498021909597e-06,-0.5883062085593731,large,0.0002543936701107104,True,True,0.5883062085593731,True
BRaIn,repair_difficulty,21,237,0.0684006013983548,-0.6545677804703322,0.412671259431063,-0.6301637844578871,0.722968381868687,3926.5,3.9174177599723774e-06,0.5778581474784007,large,0.00012927478607908846,True,True,0.5778581474784007,True
BRaIn,technical_completeness,21,237,-0.1100015582041131,0.6863970062505214,-0.4513152286846708,0.5385424204445977,-0.7963985644546344,1134.5,1.4818090173837169e-05,-0.5441028732167973,large,0.0004593607953889522,True,True,0.5441028732167973,True
BRaIn,clarity,21,237,-0.2346268238579989,0.7623879238337528,-0.4482728412205171,0.5604608863265627,-0.9970147476917517,1155.5,1.8958587578445979e-06,-0.5356640546513964,large,6.445919776671633e-05,True,True,0.5356640546513964,True
BRaIn,txt_title_avg_sentence_len,21,237,-0.70287777031615,0.4702049590094141,-0.31185019387429525,0.5352262303510115,-1.1730827293255641,1180.5,5.571970094021311e-05,-0.5256178420735382,large,0.0016158713272661801,True,True,0.5256178420735382,True
BRaIn,txt_title_digit_density,21,237,-0.6450552541976357,0.4671225728427722,-0.3087114131789405,0.4525750821344707,-1.112177827040408,1211.0,8.346974628111081e-05,-0.5133614627285513,large,0.002337152895871103,True,True,0.5133614627285513,True
BRaIn,expected_observed_alignment,21,237,-0.2663462570628048,0.7027131095927159,-0.4970746776950717,0.567780792716631,-0.9690593666555207,1224.5,2.8147793479233095e-07,-0.5079365079365079,large,9.851727717731584e-06,True,True,0.5079365079365079,True
BRaIn,reasoning_composite,21,237,-0.31697461235302,0.7333182500071839,-0.467016449833049,0.5471904009813249,-1.050292862360204,1246.0,1.661824564697361e-05,-0.49929676511954996,large,0.0004985473694092083,True,True,0.49929676511954996,True
BRaIn,description_length,21,237,-0.3130564922212779,0.0463689412084168,-0.31243158564330703,0.21472589250268653,-0.3594254334296947,1283.0,0.00023627153528594215,-0.48442837050431986,large,0.006379331452720438,True,True,0.48442837050431986,True
BRaIn,ambiguity_type_count,21,237,-0.6117211791839219,-0.6117211791839219,0.4149679687173175,-0.5654079287837739,0.0,3604.5,2.1139935122569286e-13,0.4484629294755877,medium,7.821775995350635e-12,True,True,0.4484629294755877,True
BRaIn,num_versions,21,237,-0.3124943305803233,-0.0494572680454745,-0.16218743770326685,0.11036271931747152,-0.26303706253484876,1441.5,0.0010966384499074917,-0.4207353827606992,medium,0.028512599697594784,True,True,0.4207353827606992,True
BRaIn,ari,20,237,27.25,19.5,32.184999999999995,21.391983122362866,7.75,3279.0,0.004427340151862226,0.38354430379746834,medium,0.11068350379655564,False,False,0.38354430379746834,False
BRaIn,kincaid,20,237,14.850000000000001,12.3,15.245,12.926160337552743,2.5500000000000007,3225.0,0.007429296254812997,0.36075949367088606,medium,0.17830311011551192,False,False,0.36075949367088606,False
BRaIn,coleman_liau,20,237,27.22,19.54,31.083500000000008,21.60455696202532,7.68,3177.5,0.011473194420441936,0.3407172995780591,medium,0.2638834716701645,False,False,0.3407172995780591,False
BRaIn,flesch,20,237,14.505,34.86,9.874,29.00493670886076,-20.354999999999997,1593.5,0.015063879091570923,-0.32763713080168777,small,0.3314053400145603,False,False,0.32763713080168777,False
BRaIn,embedding_cluster_size,21,237,0.4146459595637947,-0.3447299154714549,0.21521391157473935,-0.4121134798845048,0.7593758750352495,3220.5,0.023294765671760465,0.29415310427968655,small,0.48919007910696977,False,False,0.29415310427968655,False
BRaIn,concept_network_concept_breadth,21,237,0.410786675927473,0.410786675927473,-0.26309716375708503,0.3539188413549365,0.0,1844.0,0.026483946998404288,-0.25899136025718306,small,0.5296789399680858,False,False,0.25899136025718306,False
BRaIn,embedding_cluster_distance,21,237,0.1100865997533121,0.3992709989572418,-0.07682959462416283,0.3487643477698438,-0.2891843992039297,1952.0,0.10196660458189222,-0.21559172192083584,small,1.0,False,False,0.21559172192083584,False
BRaIn,lix,20,237,49.245000000000005,51.86,49.55049999999999,52.18518987341772,-2.614999999999995,1985.5,0.22902022920796605,-0.16223628691983122,small,1.0,False,False,0.16223628691983122,False
