tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,ari,26,69,23.0,18.6,27.965384615384615,19.582608695652176,4.399999999999999,1286.5,0.0011639898068089177,0.4342251950947603,medium,0.041903633045121035,True,True,0.4342251950947603,True
BRaIn,repair_difficulty,26,69,0.0684006013983548,-0.6545677804703322,-0.26527711331026993,-0.8641238331858937,0.722968381868687,1281.5,0.0007780839750717232,0.42865105908584167,medium,0.028789107077653756,True,True,0.42865105908584167,True
BRaIn,kincaid,26,69,14.65,11.9,15.669230769230769,11.95217391304348,2.75,1237.0,0.004587766210222727,0.379041248606466,medium,0.16057181735779547,False,False,0.379041248606466,False
BRaIn,txt_description_line_count,26,69,-0.4115962144081977,0.4170379257451262,0.20620202026232787,0.3150697813019875,-0.8286341401533239,605.0,0.014933319643802918,-0.3255295429208473,small,0.49279954824549627,False,False,0.3255295429208473,False
BRaIn,txt_title_avg_sentence_len,26,69,-0.70287777031615,0.363561074525272,0.09695136331491652,0.5490286997150845,-1.066438844841422,614.5,0.017424160053463048,-0.3149386845039019,small,0.5401489616573545,False,False,0.3149386845039019,False
BRaIn,txt_title_digit_density,26,69,-0.6450552541976357,0.492399341639145,-0.000723374591231426,0.5673962473183318,-1.1374545958367808,615.5,0.01791673276551745,-0.31382385730211815,small,0.5401489616573545,False,False,0.31382385730211815,False
BRaIn,actionability,26,69,0.3430376111637781,0.8491089986580442,0.28464475876059353,0.6437466964864582,-0.5060713874942662,632.5,0.011136849233748154,-0.2948717948717949,small,0.37865287394743724,False,False,0.2948717948717949,False
BRaIn,coleman_liau,26,69,21.72,18.67,26.807692307692307,19.52289855072464,3.049999999999997,1160.0,0.02843503294412517,0.2931995540691193,small,0.7961809224355048,False,False,0.2931995540691193,False
BRaIn,flesch,26,69,25.035,36.55,12.949230769230768,35.577536231884054,-11.514999999999997,651.0,0.04043261236442145,-0.27424749163879597,small,1.0,False,False,0.27424749163879597,False
BRaIn,technical_completeness,26,69,0.4209308180989765,0.6863970062505214,0.26777724801154673,0.5709769244455016,-0.2654661881515449,652.0,0.03340581200494428,-0.2731326644370123,small,0.9019569241334956,False,False,0.2731326644370123,False
BRaIn,fog,26,69,12.42,11.0,13.013076923076925,10.912898550724634,1.42,1138.0,0.044685107139238046,0.2686733556298774,small,1.0,False,False,0.2686733556298774,False
BRaIn,num_OB,26,69,-0.4995211341402941,-0.2886514946017978,-0.08589222581478227,-0.09306226372551148,-0.2108696395384963,672.0,0.05881555656754928,-0.2508361204013378,small,1.0,False,False,0.2508361204013378,False
BRaIn,lix,26,69,55.7,50.91,54.73115384615384,50.5840579710145,4.790000000000006,1116.0,0.06816701111569676,0.24414715719063546,small,1.0,False,False,0.24414715719063546,False
