feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
repair_difficulty,208,151,-0.6545677804703322,0.0684006013983548,-0.6684710185831915,0.5088846486296078,-0.722968381868687,5807.0,5.276653325530415e-26,-0.6302215995924605,large,1.8995951971909495e-24,True,True,0.6302215995924605,True
reasoning_composite,208,151,0.7333182500071839,-0.31697461235302,0.5793089600937885,-0.4491306678817872,1.050292862360204,24572.5,2.427366596299402e-22,0.5647287315333673,large,8.495783087047906e-21,True,True,0.5647287315333673,True
actionability,208,151,0.8491089986580442,-0.163033776330488,0.615537589045306,-0.48812599213806307,1.0121427749885323,24485.0,3.6052058760547056e-22,0.5591569026999491,large,1.2257699978586e-20,True,True,0.5591569026999491,True
txt_description_line_count,208,151,0.3988261864010971,-0.5906783179578173,0.2792824614761881,-0.22081517896208283,0.9895045043589145,24464.0,1.1766229015472019e-19,0.5578196637799286,large,3.4122064144868856e-18,True,True,0.5578196637799286,True
txt_title_avg_sentence_len,208,151,0.5768488434935564,-0.70287777031615,0.580266916714202,-0.3316723022044603,1.2797266138097063,24460.0,1.8838333929947788e-20,0.5575649516046867,large,6.028266857583292e-19,True,True,0.5575649516046867,True
txt_title_digit_density,208,151,0.49499626994014223,-0.6450552541976357,0.48331669891693296,-0.2981615356860748,1.1400515241377778,24347.5,2.1393838119236245e-20,0.5504011716760061,large,6.632089816963236e-19,True,True,0.5504011716760061,True
clarity,208,151,0.7623879238337528,0.2638805499878769,0.5898276790409497,-0.4888325707860282,0.49850737384587585,24078.0,3.149139841179764e-21,0.533239938869078,large,1.0392161475893221e-19,True,True,0.533239938869078,True
coleman_liau,208,134,19.22,28.955,21.416009615384613,35.410000000000004,-9.735,6593.0,1.9307563990579916e-16,-0.5269087256027555,large,5.4061179173623765e-15,True,True,0.5269087256027555,True
ari,208,134,19.5,28.15,21.228365384615383,35.61492537313433,-8.649999999999999,6752.5,8.430164039050549e-16,-0.5154635476463835,large,2.2761442905436483e-14,True,True,0.5154635476463835,True
ambiguity_type_count,208,151,-0.6117211791839219,-0.2197125954398122,-0.5815666727420674,0.5019985719831179,-0.3920085837441097,7811.0,8.612099272317645e-28,-0.5026107997962302,large,3.1864767307575287e-26,True,True,0.5026107997962302,True
flesch,208,134,35.269999999999996,7.895,29.585913461538464,-10.862611940298507,27.374999999999996,20906.0,5.791197723752461e-15,0.5001435132032147,large,1.5057114081756399e-13,True,True,0.5001435132032147,True
expected_observed_alignment,208,151,0.7027131095927159,-0.2663462570628048,0.5908985672863097,-0.47491863730323153,0.9690593666555207,23288.5,4.465848110877273e-20,0.4829661232806928,large,1.339754433263182e-18,True,True,0.4829661232806928,True
technical_completeness,208,151,0.6863970062505214,-0.1100015582041131,0.5613215906791204,-0.46512851189028587,0.7963985644546344,22926.5,1.9481457401217338e-14,0.45991467142129394,medium,4.870364350304335e-13,True,True,0.45991467142129394,True
kincaid,208,134,12.25,15.350000000000001,12.836538461538462,17.85223880597015,-3.1000000000000014,7920.5,1.589631579134559e-11,-0.43165183696900117,medium,3.656152632009486e-10,True,True,0.43165183696900117,True
embedding_cluster_distance,208,151,0.38379098615924684,-0.2845748796046612,0.3477117814578424,-0.5451949861878581,0.668365865763908,22311.0,1.0010915808545667e-11,0.4207208354559348,medium,2.4026197940509603e-10,True,True,0.4207208354559348,True
description_length,208,151,0.045275354696967404,-0.4603261424297939,0.21227863330118846,-0.22972664850779126,0.5056014971267613,21961.0,1.0031649476213255e-10,0.39843352012226185,medium,2.206962884766916e-09,True,True,0.39843352012226185,True
embedding_cluster_size,208,151,-0.3447299154714549,0.1845320580379615,-0.4402050582679905,0.19474240995996858,-0.5292619735094164,10257.0,1.4000979500143015e-08,-0.3468543046357616,medium,2.9402056950300335e-07,True,True,0.3468543046357616,True
num_versions,208,151,-0.0494572680454745,-0.3124943305803233,0.1174700985631795,-0.11826497645690846,0.26303706253484876,20830.0,6.038247095080538e-08,0.32641365257259297,small,1.2076494190161075e-06,True,True,0.32641365257259297,True
concept_network_concept_breadth,208,151,0.410786675927473,0.410786675927473,0.3557096313378697,-0.33450207392233616,0.0,19947.5,2.6987198143627636e-06,0.2702177789098319,small,5.1275676472892506e-05,True,True,0.2702177789098319,True
semantic_coherence,208,151,-0.3167621143377811,-0.0963269328104807,-0.22328920614050188,0.44585609713899105,-0.2204351815273004,11722.0,4.094594835023759e-05,-0.2535659704533877,small,0.0007370270703042766,True,True,0.2535659704533877,True
num_causal_markers,208,151,-0.1531279935599871,-0.4554019288379759,0.019807575180785353,-0.019006446118760262,0.30227393527798885,17982.0,0.01705920318578132,0.14505858380030565,negligible,0.2900064541582824,False,False,0.14505858380030565,False
num_exception_types,208,151,-0.5251530779927517,-0.5251530779927517,0.007749654796768009,-0.17022069967314724,0.0,17460.5,0.018234801552059622,0.11185048395313296,negligible,0.29175682483295395,False,False,0.11185048395313296,False
