tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
BRaIn,embedding_cluster_size,25,306,0.4146459595637947,-0.3447299154714549,0.3299640438022882,-0.37029812675210305,0.7593758750352495,5029.0,0.00794265642564148,0.3147712418300654,small,0.1588531285128296,False,False,0.3147712418300654,False
BRaIn,concept_network_concept_breadth,25,306,0.410786675927473,0.410786675927473,-0.39787393169399665,0.34251739805093284,0.0,2666.5,0.004818870763299591,-0.30287581699346405,small,0.10119628602929141,False,False,0.30287581699346405,False
BRaIn,embedding_cluster_distance,25,306,0.0640402002222395,0.34549333816471184,-0.11920650962355707,0.29885058215344307,-0.28145313794247234,2926.0,0.05081581359644934,-0.2350326797385621,small,0.9655004583325375,False,False,0.2350326797385621,False
BRaIn,num_exception_types,25,306,-0.5251530779927517,-0.5251530779927517,-0.184095329007459,0.08387861662384229,0.0,3226.0,0.11091561771537317,-0.1566013071895425,small,1.0,False,False,0.1566013071895425,False
BRaIn,num_causal_markers,25,306,-0.4554019288379759,-0.1531279935599871,-0.128946078737748,-0.02965007882224657,-0.30227393527798885,3305.0,0.2507245445182058,-0.13594771241830064,negligible,1.0,False,False,0.13594771241830064,False
BRaIn,semantic_coherence,25,306,-0.0963269328104807,-0.2795450862445833,0.02480256632875564,-0.1837795168190531,0.18321815343410258,4243.5,0.36356700260637564,0.10941176470588235,negligible,1.0,False,False,0.10941176470588235,False
BRaIn,stacktrace_depth,25,306,-0.2020454871191189,-0.2020454871191189,-0.20204548711911893,0.0211433266505785,0.0,3425.0,0.09033428363127581,-0.10457516339869281,negligible,1.0,False,False,0.10457516339869281,False
BRaIn,exception_user_frames,25,306,-0.2073567129463963,-0.2073567129463963,-0.2073567129463963,0.020330249840707602,0.0,3450.0,0.10210595599549621,-0.09803921568627451,negligible,1.0,False,False,0.09803921568627451,False
BRaIn,ambiguity,25,306,-0.5855868655187282,-0.5855868655187282,0.12167292665918068,-0.025066296173012134,0.0,4170.5,0.39043393722171893,0.09032679738562091,negligible,1.0,False,False,0.09032679738562091,False
BRaIn,txt_reasoning_avg_sentence_len,25,306,-0.1307782368282674,-0.0140365238068689,-0.12610856830741146,-0.03129465265528077,-0.11674171302139849,3528.0,0.5189409535351297,-0.07764705882352942,negligible,1.0,False,False,0.07764705882352942,False
BRaIn,txt_reasoning_digit_density,25,306,-0.2000607604811334,-0.2000607604811334,0.36212940847708175,0.04431001823700379,0.0,4095.5,0.24559007181168646,0.07071895424836601,negligible,1.0,False,False,0.07071895424836601,False
BRaIn,lix,24,306,50.765,51.65,52.120000000000005,52.110098039215686,-0.884999999999998,3446.5,0.6171365642404989,-0.061410675381263616,negligible,1.0,False,False,0.061410675381263616,False
BRaIn,semantic_entropy,25,306,0.3409737021551381,0.277884769268618,-0.07457600467679609,0.11357457972995925,0.06308893288652012,3594.5,0.6171163168474068,-0.06026143790849673,negligible,1.0,False,False,0.06026143790849673,False
BRaIn,smog,24,306,12.5,12.0,11.829166666666666,12.149019607843139,0.5,3890.0,0.6288243075825184,0.0593681917211329,negligible,1.0,False,False,0.0593681917211329,False
BRaIn,txt_likely_impacted_code_concepts_digit_density,25,306,-0.1486940122073022,-0.1486940122073022,-0.1486940122073022,0.0880221636760903,0.0,3662.5,0.2954062873461585,-0.042483660130718956,negligible,1.0,False,False,0.042483660130718956,False
BRaIn,fog,24,306,11.435,11.385000000000002,11.84875,11.481143790849671,0.049999999999998934,3799.5,0.7778102785353002,0.034722222222222224,negligible,1.0,False,False,0.034722222222222224,False
BRaIn,num_env_mentions,25,306,-0.2192296649910203,-0.2192296649910203,0.04703472812534619,-0.03432383643798804,0.0,3941.5,0.5096259386814318,0.030457516339869282,negligible,1.0,False,False,0.030457516339869282,False
BRaIn,num_OB,25,306,-0.0777818550633016,-0.2886514946017978,0.19213128354597356,-0.08398390328502207,0.2108696395384962,3711.0,0.8035603675810383,-0.02980392156862745,negligible,1.0,False,False,0.02980392156862745,False
BRaIn,num_EB,25,306,0.2959479588785432,0.2959479588785432,-0.014159078816934297,0.07109502100702664,0.0,3754.5,0.8682729999757153,-0.01843137254901961,negligible,1.0,False,False,0.01843137254901961,False
BRaIn,txt_root_cause_guess_digit_density,25,306,-0.1710687069843892,-0.1710687069843892,-0.06518169712390987,0.10037960068783273,0.0,3786.0,0.8218412878770218,-0.01019607843137255,negligible,1.0,False,False,0.01019607843137255,False
BRaIn,num_temporal_markers,25,306,-0.4635308650875505,-0.4635308650875505,-0.0825437513668211,0.04863986859821912,0.0,3862.5,0.9226444615648969,0.00980392156862745,negligible,1.0,False,False,0.00980392156862745,False
FlexFL,repair_difficulty,49,317,1.5143373651357288,-0.6545677804703322,0.7323511561757202,-0.5656221435842792,2.168905145606061,13037.0,1.4436381029917829e-15,0.6786197128693748,large,5.0527333604712403e-14,True,True,0.6786197128693748,True
FlexFL,txt_description_line_count,49,317,-0.6028194775205034,0.374543867275725,-0.40509202178533027,0.2110595152463071,-0.9773633447962283,2626.5,8.371725501895503e-14,-0.6618167771840597,large,2.678952160606561e-12,True,True,0.6618167771840597,True
FlexFL,reasoning_composite,49,317,-0.8421210435331218,0.7333182500071839,-0.7456655765816744,0.48979608791420276,-1.5754392935403057,2642.0,4.414655113278625e-16,-0.659821026202279,large,1.589275840780305e-14,True,True,0.659821026202279,True
FlexFL,actionability,49,317,-1.6812479388132866,0.8491089986580442,-0.741401076323935,0.5298210570212833,-2.530356937471331,2801.5,2.452140818278847e-15,-0.6392841048091161,large,8.33727878214808e-14,True,True,0.6392841048091161,True
FlexFL,clarity,49,317,-1.7301489453956265,0.7623879238337528,-0.7331341977038748,0.5170656830767918,-2.4925368692293794,3050.5,7.467706180349795e-15,-0.6072233309727677,large,2.464343039515432e-13,True,True,0.6072233309727677,True
FlexFL,description_length,49,317,-1.0231586669890729,0.0645953830659064,-0.4807546360382294,0.23772013224753252,-1.0877540500549792,3122.5,1.5800000982332366e-11,-0.5979527457670766,large,4.740000294699709e-10,True,True,0.5979527457670766,True
